"ID","NOME","IDADE","NACIONALIDADE","PONTUACAO_GERAL","POTENCIAL","TIME","VALOR","REMUNERACAO","PERNA_DE_PREFERÊNCIA","REPUTACAO_INTERNACIONAL","POSICAO","CAMISA","CONTRATACAO","EMPRESTADO_DE_","VALIDADE_DO_CONTRATO","ALTURA","PESO","CONTROLE_DE_BOLA","ARRANCADA","AGILIDADE","EQUILÍBRIO","ENERGIA","FORCA"
211110,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,Esquerda,3.0,Ponta esquerda,21.0,"Jul 1, 2015",,"2022","5'10","165lbs",92.0,87.0,91.0,85.0,80.0,65.0
202126,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,€205K,Direita,3.0,Atacante,9.0,"Jul 1, 2010",,"2024","6'2","196lbs",84.0,68.0,71.0,71.0,89.0,84.0
194765,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,€145K,Esquerda,4.0,Médio-ofensivo central,7.0,"Jul 28, 2014",,"2023","5'9","161lbs",90.0,88.0,90.0,80.0,83.0,62.0
192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,Direita,3.0,Goleiro,22.0,"Jul 1, 2014",,"2022","6'2","187lbs",18.0,38.0,37.0,43.0,35.0,79.0
192119,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,Esquerda,4.0,Goleiro,1.0,"Aug 9, 2018",,"2024","6'6","212lbs",23.0,46.0,61.0,45.0,38.0,70.0
189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,Direita,4.0,Volante,5.0,"Sep 1, 2008",,"2023","6'2","168lbs",88.0,50.0,66.0,52.0,86.0,77.0
179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,Direita,4.0,Atacante pela esquerda,21.0,"Jul 16, 2013",,"2020","6'1","170lbs",82.0,75.0,77.0,59.0,92.0,78.0
167495,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,€130K,Direita,5.0,Goleiro,1.0,"Jul 1, 2011",,"2021","6'4","203lbs",48.0,54.0,51.0,35.0,43.0,80.0
153079,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,Direita,4.0,Atacante,10.0,"Jul 28, 2011",,"2021","5'8","154lbs",89.0,88.0,86.0,91.0,76.0,73.0
138956,G. Chiellini,33,Italy,89,89,Juventus,€27M,€215K,Esquerda,4.0,Zagueiro pela esquerda,3.0,"Jul 1, 2005",,"2020","6'2","187lbs",57.0,63.0,54.0,55.0,65.0,89.0
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,€100K,Direita,3.0,Meio-campista direito,10.0,"Jul 1, 2018",,"2022","5'10","161lbs",91.0,96.0,92.0,83.0,83.0,71.0
209331,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,€255K,Esquerda,3.0,Meio-campista direito,10.0,"Jul 1, 2017",,"2023","5'9","157lbs",88.0,94.0,91.0,88.0,84.0,70.0
200145,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,€285K,Direita,3.0,Volante,14.0,"Jul 11, 2013",,"2021","6'1","185lbs",78.0,59.0,62.0,66.0,87.0,89.0
198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,€69.5M,€315K,Esquerda,4.0,Meio campista avançado esquerda,10.0,,Real Madrid,"Jun 30, 2019","5'11","172lbs",90.0,73.0,83.0,76.0,70.0,68.0
198219,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,Direita,3.0,Meio-campista esquerdo avançado,10.0,"Jul 1, 2010",,"2022","5'4","130lbs",93.0,94.0,94.0,93.0,75.0,44.0
197781,Isco,26,Spain,88,91,Real Madrid,€73.5M,€315K,Direita,3.0,Meio-campista esquerdo avançado,22.0,"Jul 3, 2013",,"2022","5'9","174lbs",95.0,75.0,87.0,90.0,70.0,59.0
190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,€205K,Direita,3.0,Médio-ofensivo central,10.0,"Aug 30, 2013",,"2020","5'11","168lbs",91.0,75.0,79.0,81.0,92.0,58.0
189242,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,€340K,Direita,3.0,Meio-campista esquerdo avançado,7.0,"Jan 6, 2018",,"2023","5'8","150lbs",92.0,89.0,92.0,93.0,79.0,61.0
188567,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,Direita,3.0,Meio-campista esquerdo,14.0,"Jan 31, 2018",,"2021","6'2","176lbs",82.0,93.0,76.0,70.0,76.0,76.0
178603,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,Direita,4.0,Zagueiro pela esquerda,5.0,"Jul 1, 2016",,"2021","6'3","203lbs",81.0,53.0,63.0,60.0,66.0,84.0
176676,Marcelo,30,Brazil,88,88,Real Madrid,€43M,€285K,Esquerda,4.0,Lateral esquerdo,12.0,"Jan 1, 2007",,"2022","5'9","176lbs",92.0,83.0,86.0,86.0,91.0,78.0
173731,G. Bale,28,Wales,88,88,Real Madrid,€60M,€355K,Esquerda,4.0,Atacante,11.0,"Sep 2, 2013",,"2022","6'1","181lbs",85.0,94.0,82.0,65.0,75.0,80.0
167948,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,Esquerda,4.0,Goleiro,1.0,"Aug 1, 2012",,"2022","6'2","181lbs",34.0,65.0,55.0,54.0,41.0,43.0
167664,G. Higuaín,30,Argentina,88,88,Milan,€57M,€245K,Direita,4.0,Atacante pela esquerda,9.0,,Juventus,"Jun 30, 2019","6'1","196lbs",85.0,73.0,75.0,69.0,70.0,85.0
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,Direita,4.0,Lateral direito recuado,2.0,"Jul 1, 2012",,"2020","6'0","181lbs",80.0,70.0,68.0,68.0,74.0,82.0
162835,S. Handanovič,33,Slovenia,88,88,Inter,€30M,€110K,Direita,3.0,Goleiro,1.0,"Jul 1, 2012",,"2021","6'4","203lbs",16.0,51.0,47.0,36.0,41.0,71.0
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,€77K,Direita,4.0,Goleiro,1.0,"Jul 6, 2018",,"2019","6'4","203lbs",28.0,49.0,55.0,49.0,39.0,69.0
205600,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,Esquerda,3.0,Zagueiro,23.0,"Jul 12, 2016",,"2023","6'0","165lbs",77.0,71.0,68.0,66.0,78.0,84.0
201399,M. Icardi,25,Argentina,87,90,Inter,€64.5M,€130K,Direita,3.0,Atacante,9.0,"Jul 9, 2013",,"2021","5'11","165lbs",81.0,77.0,76.0,76.0,72.0,76.0
201024,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,€115K,Direita,3.0,Zagueiro pela esquerda,26.0,"Jul 1, 2014",,"2021","6'2","196lbs",60.0,68.0,50.0,40.0,71.0,94.0
195864,P. Pogba,25,France,87,91,Manchester United,€64M,€210K,Direita,4.0,Zagueiro pela direita,6.0,"Aug 9, 2016",,"2021","6'4","185lbs",90.0,71.0,74.0,64.0,88.0,89.0
193041,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,Direita,3.0,Goleiro,1.0,"Aug 3, 2014",,"2020","6'1","176lbs",19.0,54.0,60.0,61.0,39.0,75.0
192505,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,€230K,Esquerda,3.0,Atacante,9.0,"Jul 10, 2017",,"2022","6'3","207lbs",72.0,77.0,60.0,46.0,84.0,94.0
192387,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,Direita,3.0,Atacante,17.0,"Jul 27, 2016",,"2023","6'1","187lbs",83.0,78.0,77.0,63.0,80.0,76.0
189332,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,Esquerda,3.0,Lateral esquerdo,18.0,"Jul 1, 2012",,"2020","5'7","150lbs",84.0,93.0,90.0,85.0,91.0,61.0
175943,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,Direita,3.0,Ponta direita,14.0,"Jul 1, 2013",,"2020","5'7","134lbs",89.0,93.0,94.0,92.0,75.0,42.0
172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,Esquerda,3.0,Zagueiro pela esquerda,5.0,"Jul 1, 2012",,"2019","6'2","190lbs",76.0,61.0,61.0,60.0,75.0,79.0
171877,M. Hamšík,30,Slovakia,87,87,Napoli,€46.5M,€125K,Direita,3.0,Meio campista esquerdo,17.0,"Jul 1, 2007",,"2020","6'0","174lbs",87.0,69.0,76.0,66.0,84.0,67.0
168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,€46.5M,€260K,Direita,4.0,Meio-campista direito,4.0,"Jul 1, 2014",,"2021","6'0","172lbs",87.0,66.0,72.0,66.0,84.0,66.0
152729,Piqué,31,Spain,87,87,FC Barcelona,€34M,€240K,Direita,4.0,Lateral direito recuado,3.0,"Jul 1, 2008",,"2022","6'4","187lbs",78.0,49.0,58.0,36.0,65.0,83.0
222492,L. Sané,22,Germany,86,92,Manchester City,€61M,€195K,Esquerda,2.0,Meio-campista esquerdo avançado,19.0,"Aug 2, 2016",,"2021","6'0","165lbs",85.0,93.0,88.0,81.0,79.0,70.0
218667,Bernardo Silva,23,Portugal,86,91,Manchester City,€59.5M,€180K,Esquerda,2.0,Meio-campista direito avançado,11.0,"Jul 1, 2017",,"2022","5'8","141lbs",91.0,84.0,90.0,88.0,78.0,48.0
210257,Ederson,24,Brazil,86,90,Manchester City,€41.5M,€125K,Esquerda,2.0,Goleiro,31.0,"Jul 1, 2017",,"2025","6'2","190lbs",37.0,64.0,60.0,48.0,41.0,68.0
208722,S. Mané,26,Senegal,86,87,Liverpool,€52M,€195K,Direita,3.0,Meio-campista esquerdo,10.0,"Jul 1, 2016",,"2023","5'9","152lbs",86.0,95.0,91.0,86.0,84.0,67.0
203376,V. van Dijk,26,Netherlands,86,88,Liverpool,€44.5M,€165K,Direita,3.0,Zagueiro pela esquerda,4.0,"Jan 1, 2018",,"2023","6'4","203lbs",73.0,74.0,61.0,49.0,71.0,92.0
202652,R. Sterling,23,England,86,89,Manchester City,€56.5M,€195K,Direita,3.0,Meio-campista direito avançado,10.0,"Jul 14, 2015",,"2023","5'7","152lbs",87.0,95.0,93.0,93.0,78.0,52.0
201942,Roberto Firmino,26,Brazil,86,87,Liverpool,€53M,€195K,Direita,3.0,Médio-ofensivo central,9.0,"Jul 6, 2015",,"2023","5'11","168lbs",88.0,78.0,80.0,81.0,90.0,74.0
201535,R. Varane,25,France,86,91,Real Madrid,€50M,€210K,Direita,3.0,Lateral direito recuado,4.0,"Jul 1, 2011",,"2022","6'3","179lbs",77.0,83.0,63.0,40.0,73.0,84.0
199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,€55M,€135K,Direita,3.0,Meio campista esquerdo,6.0,"Jul 18, 2012",,"2021","5'5","132lbs",88.0,69.0,87.0,94.0,77.0,52.0
191043,Alex Sandro,27,Brazil,86,86,Juventus,€36.5M,€160K,Esquerda,3.0,Lateral esquerdo,12.0,"Aug 21, 2015",,"2020","5'11","176lbs",81.0,83.0,79.0,78.0,92.0,79.0
190483,Douglas Costa,27,Brazil,86,86,Juventus,€46.5M,€175K,Esquerda,3.0,Meio-campista esquerdo,11.0,"Jul 1, 2018",,"2022","5'8","154lbs",91.0,97.0,93.0,91.0,78.0,63.0
189596,T. Müller,28,Germany,86,86,FC Bayern München,€45M,€135K,Direita,4.0,Médio-ofensivo central,13.0,"Aug 10, 2008",,"2021","6'1","165lbs",82.0,73.0,75.0,72.0,87.0,68.0
189509,Thiago,27,Spain,86,86,FC Bayern München,€45.5M,€130K,Direita,3.0,Meio campista central,19.0,"Jul 14, 2013",,"2021","5'9","154lbs",90.0,78.0,90.0,86.0,75.0,59.0
188350,M. Reus,29,Germany,86,86,Borussia Dortmund,€43.5M,€100K,Direita,4.0,Meio-campista esquerdo,11.0,"Jul 1, 2012",,"2023","5'11","157lbs",86.0,86.0,86.0,81.0,73.0,67.0
184432,Azpilicueta,28,Spain,86,86,Chelsea,€35M,€175K,Direita,3.0,Lateral direito,14.0,"Aug 24, 2012",,"2022","5'10","168lbs",77.0,76.0,72.0,73.0,87.0,71.0
184344,L. Bonucci,31,Italy,86,86,Juventus,€30M,€160K,Direita,3.0,Lateral direito recuado,19.0,"Aug 2, 2018",,"2023","6'3","187lbs",75.0,57.0,60.0,52.0,71.0,83.0
184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,€39M,€150K,Direita,3.0,Lateral direito recuado,2.0,"Jul 8, 2015",,"2020","6'1","179lbs",74.0,61.0,60.0,50.0,74.0,79.0
180206,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,€44M,€180K,Direita,3.0,Volante,5.0,"Jul 1, 2016",,"2023","5'10","159lbs",89.0,66.0,77.0,79.0,78.0,66.0
177509,M. Benatia,31,Morocco,86,86,Juventus,€30M,€160K,Direita,3.0,Zagueiro,4.0,"Aug 26, 2014",,"2020","6'2","207lbs",64.0,65.0,59.0,53.0,69.0,91.0
176635,M. Özil,29,Germany,86,86,Arsenal,€43.5M,€190K,Esquerda,4.0,Médio-ofensivo central,10.0,"Sep 2, 2013",,"2021","5'11","168lbs",90.0,72.0,79.0,70.0,69.0,57.0
135507,Fernandinho,33,Brazil,86,86,Manchester City,€18M,€185K,Direita,3.0,Volante,25.0,"Jul 1, 2013",,"2020","5'10","148lbs",82.0,68.0,72.0,78.0,79.0,76.0
41,Iniesta,34,Spain,86,86,Vissel Kobe,€21.5M,€21K,Direita,4.0,Ponta esquerda,8.0,"Jul 16, 2018",,"2021","5'7","150lbs",92.0,70.0,79.0,84.0,55.0,58.0
232363,M. Škriniar,23,Slovakia,85,92,Inter,€46.5M,€82K,Direita,1.0,Zagueiro pela esquerda,37.0,"Jul 7, 2017",,"2022","6'2","176lbs",67.0,70.0,48.0,48.0,77.0,83.0
223848,S. Milinković-Savić,23,Serbia,85,90,Lazio,€50.5M,€73K,Direita,2.0,Meio campista central,21.0,"Aug 6, 2015",,"2023","6'3","168lbs",87.0,68.0,66.0,59.0,85.0,88.0
220834,Marco Asensio,22,Spain,85,92,Real Madrid,€54M,€215K,Esquerda,3.0,Meio-campista direito avançado,10.0,"Jul 1, 2015",,"2023","6'0","168lbs",85.0,85.0,79.0,76.0,76.0,61.0
216594,N. Fekir,24,France,85,89,Olympique Lyonnais,€50M,€92K,Esquerda,3.0,Médio-ofensivo central,18.0,"Jul 1, 2013",,"2020","5'8","165lbs",89.0,79.0,90.0,91.0,80.0,82.0
212831,Alisson,25,Brazil,85,90,Liverpool,€36.5M,€115K,Direita,3.0,Goleiro,13.0,"Jul 19, 2018",,"2024","6'3","201lbs",30.0,54.0,40.0,37.0,32.0,78.0
212622,J. Kimmich,23,Germany,85,88,FC Bayern München,€40.5M,€92K,Direita,3.0,Meio-campista direito,18.0,"Jul 1, 2015",,"2023","5'9","154lbs",85.0,78.0,84.0,83.0,85.0,65.0
208421,Saúl,23,Spain,85,90,Atlético Madrid,€50.5M,€77K,Esquerda,3.0,Meio-campista direito,6.0,"Jul 1, 2013",,"2026","6'0","170lbs",85.0,74.0,76.0,69.0,86.0,77.0
204485,R. Mahrez,27,Algeria,85,85,Manchester City,€40.5M,€205K,Esquerda,3.0,Meio-campista direito avançado,26.0,"Jul 10, 2018",,"2023","5'10","148lbs",90.0,88.0,93.0,88.0,76.0,54.0
197445,D. Alaba,26,Austria,85,87,FC Bayern München,€38M,€110K,Esquerda,4.0,Lateral esquerdo,8.0,"Feb 10, 2010",,"2021","5'11","168lbs",83.0,79.0,79.0,77.0,87.0,71.0
193747,Koke,26,Spain,85,86,Atlético Madrid,€45M,€88K,Direita,3.0,Meio-campista esquerdo,8.0,"Jan 1, 2011",,"2019","5'9","163lbs",86.0,71.0,74.0,78.0,90.0,79.0
193301,A. Lacazette,27,France,85,86,Arsenal,€45M,€180K,Direita,3.0,Atacante,9.0,"Jul 5, 2017",,"2022","5'9","161lbs",83.0,81.0,85.0,85.0,79.0,73.0
192774,K. Manolas,27,Greece,85,87,Roma,€37.5M,€96K,Direita,3.0,Zagueiro pela esquerda,4.0,"Aug 26, 2014",,"2022","6'2","183lbs",65.0,80.0,68.0,59.0,76.0,82.0
192366,N. Otamendi,30,Argentina,85,85,Manchester City,€28.5M,€170K,Direita,3.0,Zagueiro,30.0,"Aug 20, 2015",,"2022","6'0","179lbs",70.0,57.0,64.0,62.0,67.0,80.0
189513,Parejo,29,Spain,85,85,Valencia CF,€37M,€66K,Direita,2.0,Meio-campista direito,10.0,"Jul 1, 2011",,"2020","6'0","163lbs",84.0,51.0,66.0,72.0,78.0,72.0
187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,€37M,€235K,Direita,3.0,Lateral esquerdo recuado,9.0,,FC Barcelona,"Jun 30, 2019","6'0","157lbs",84.0,73.0,69.0,66.0,92.0,81.0
186153,W. Szczęsny,28,Poland,85,87,Juventus,€32M,€125K,Direita,3.0,Goleiro,1.0,"Jul 19, 2017",,"2021","6'5","198lbs",22.0,51.0,55.0,51.0,45.0,65.0
184941,A. Sánchez,29,Chile,85,85,Manchester United,€37.5M,€215K,Direita,4.0,Meio-campista direito avançado,7.0,"Jan 22, 2018",,"2022","5'7","163lbs",86.0,86.0,90.0,87.0,83.0,72.0
184267,Y. Brahimi,28,Algeria,85,85,FC Porto,€39M,€28K,Direita,3.0,Meio-campista esquerdo,8.0,"Jul 22, 2014",,"2019","5'9","146lbs",86.0,87.0,92.0,87.0,85.0,49.0
183907,J. Boateng,29,Germany,85,85,FC Bayern München,€30M,€115K,Direita,4.0,Lateral direito recuado,17.0,"Jul 14, 2011",,"2021","6'4","198lbs",70.0,67.0,56.0,52.0,69.0,91.0
181872,A. Vidal,31,Chile,85,85,FC Barcelona,€26M,€205K,Direita,4.0,Médio-ofensivo central,8.0,"Aug 6, 2018",,"2021","5'11","165lbs",82.0,60.0,74.0,75.0,83.0,79.0
181458,I. Perišić,29,Croatia,85,85,Inter,€37.5M,€110K,Direita,3.0,Meio-campista esquerdo,44.0,"Sep 1, 2015",,"2022","6'1","176lbs",85.0,84.0,78.0,74.0,89.0,78.0
180930,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,€30.5M,€115K,Direita,3.0,Atacante,9.0,"Jul 1, 2015",,"2020","6'4","185lbs",84.0,65.0,57.0,36.0,76.0,80.0
179846,S. Khedira,31,Germany,85,85,Juventus,€33M,€160K,Direita,3.0,Meio-campista direito,6.0,"Jul 1, 2015",,"2021","6'2","198lbs",84.0,54.0,55.0,54.0,78.0,87.0
179844,Diego Costa,29,Spain,85,85,Atlético Madrid,€38.5M,€100K,Direita,4.0,Atacante pela esquerda,19.0,"Jan 1, 2018",,"2021","6'2","190lbs",83.0,74.0,58.0,53.0,76.0,92.0
178518,R. Nainggolan,30,Belgium,85,85,Inter,€35.5M,€105K,Direita,3.0,Médio-ofensivo central,14.0,"Jul 1, 2018",,"2022","5'9","170lbs",85.0,78.0,76.0,82.0,93.0,77.0
171919,Naldo,35,Brazil,85,85,FC Schalke 04,€9M,€38K,Direita,3.0,Zagueiro,29.0,"Jul 1, 2016",,"2020","6'6","201lbs",68.0,60.0,46.0,36.0,61.0,83.0
170890,B. Matuidi,31,France,85,85,Juventus,€26M,€145K,Esquerda,3.0,Meio-campista esquerdo,14.0,"Aug 18, 2017",,"2020","5'11","165lbs",79.0,79.0,83.0,79.0,94.0,76.0
168609,Miranda,33,Brazil,85,85,Inter,€15.5M,€96K,Direita,3.0,Zagueiro,23.0,"Jul 1, 2017",,"2020","6'1","172lbs",73.0,66.0,61.0,57.0,65.0,79.0
165153,K. Benzema,30,France,85,85,Real Madrid,€37M,€240K,Direita,4.0,Atacante,9.0,"Jul 9, 2009",,"2021","6'1","179lbs",86.0,76.0,76.0,66.0,75.0,80.0
164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,€21.5M,€81K,Esquerda,3.0,Lateral esquerdo,3.0,"Jul 28, 2015",,"2019","6'0","163lbs",83.0,76.0,75.0,62.0,89.0,74.0
139720,V. Kompany,32,Belgium,85,85,Manchester City,€22M,€170K,Direita,4.0,Zagueiro,4.0,"Aug 22, 2008",,"2019","6'3","187lbs",70.0,52.0,57.0,41.0,66.0,87.0
120533,Pepe,35,Portugal,85,85,Beşiktaş JK,€9M,€57K,Direita,4.0,Lateral direito recuado,3.0,"Jul 4, 2017",,"2019","6'2","179lbs",62.0,65.0,63.0,49.0,60.0,86.0
41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,€14M,€15K,Direita,5.0,Atacande pela direita,9.0,"Mar 23, 2018",,"2022","6'5","209lbs",84.0,58.0,75.0,39.0,61.0,86.0
220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,€34M,€105K,Direita,2.0,Lateral direito recuado,23.0,"Aug 26, 2017",,"2024","6'2","174lbs",73.0,72.0,60.0,55.0,76.0,83.0
216460,J. Giménez,23,Uruguay,84,88,Atlético Madrid,€34M,€63K,Direita,2.0,Lateral direito recuado,24.0,"Jul 1, 2013",,"2023","6'1","176lbs",56.0,69.0,56.0,43.0,67.0,85.0
212462,Alex Telles,25,Brazil,84,87,FC Porto,€32M,€22K,Esquerda,3.0,Lateral esquerdo,13.0,"Jul 13, 2016",,"2021","5'11","157lbs",82.0,84.0,73.0,70.0,92.0,68.0
212218,A. Laporte,24,France,84,88,Manchester City,€34M,€135K,Esquerda,2.0,Zagueiro pela esquerda,14.0,"Jan 30, 2018",,"2023","6'2","187lbs",73.0,62.0,45.0,55.0,67.0,82.0
212198,Bruno Fernandes,23,Portugal,84,88,Sporting CP,€40.5M,€22K,Direita,2.0,Meio campista esquerdo,8.0,"Jul 1, 2017",,"2023","5'10","152lbs",85.0,79.0,77.0,78.0,89.0,67.0
212190,N. Süle,22,Germany,84,90,FC Bayern München,€36.5M,€84K,Direita,2.0,Zagueiro,15.0,"Jul 1, 2017",,"2022","6'5","214lbs",63.0,52.0,33.0,33.0,65.0,94.0
211300,A. Martial,22,France,84,90,Manchester United,€42.5M,€165K,Direita,3.0,Meio-campista esquerdo avançado,11.0,"Sep 1, 2015",,"2019","6'0","168lbs",86.0,88.0,85.0,81.0,75.0,75.0
211117,D. Alli,22,England,84,90,Tottenham Hotspur,€42.5M,€115K,Direita,3.0,Meio campista esquerdo,20.0,"Feb 2, 2015",,"2024","6'2","176lbs",85.0,73.0,76.0,62.0,90.0,71.0
209499,Fabinho,24,Brazil,84,88,Liverpool,€34M,€120K,Direita,3.0,Volante,3.0,"Jul 1, 2018",,"2023","6'2","172lbs",82.0,69.0,69.0,67.0,92.0,79.0
207865,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,€35.5M,€90K,Direita,3.0,Lateral esquerdo recuado,5.0,"Jul 19, 2013",,"2022","6'0","165lbs",76.0,73.0,69.0,68.0,75.0,74.0
207566,William Carvalho,26,Portugal,84,86,Real Betis,€31.5M,€38K,Direita,3.0,Volante,14.0,"Jul 13, 2018",,"2023","6'2","183lbs",79.0,49.0,51.0,51.0,84.0,90.0
205498,Jorginho,26,Italy,84,87,Chelsea,€38M,€155K,Direita,2.0,Meio campista central,8.0,"Jul 16, 2018",,"2023","5'11","148lbs",85.0,75.0,80.0,73.0,79.0,66.0
204970,F. Thauvin,25,France,84,87,Olympique de Marseille,€39M,€72K,Esquerda,2.0,Meio-campista direito,20.0,"Jul 1, 2017",,"2021","5'10","154lbs",86.0,87.0,86.0,71.0,83.0,66.0
204963,Carvajal,26,Spain,84,87,Real Madrid,€31.5M,€185K,Direita,3.0,Lateral direito,2.0,"Jul 5, 2013",,"2022","5'8","161lbs",83.0,79.0,81.0,79.0,84.0,74.0
202556,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,€42M,€93K,Direita,3.0,Atacante,10.0,"Jan 20, 2017",,"2021","5'9","172lbs",85.0,87.0,82.0,79.0,79.0,80.0
200104,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,€37M,€125K,Direita,3.0,Meio-campista esquerdo,7.0,"Aug 28, 2015",,"2023","6'0","143lbs",85.0,88.0,82.0,76.0,85.0,63.0
